"gene","train_test","tissue","Pearson","name"
"TER.119","LymphNode2","Lymph Node",0.211813761878897,""
"TER.119","Spleen1","Spleen",0.220390884456599,""
"TER.119","Spleen2","Spleen",0.200488547717508,""
"Tim.4","LymphNode1","Lymph Node",0.435395881610951,""
"Tim.4","LymphNode2","Lymph Node",0.460022900719509,""
"Tim.4","Spleen1","Spleen",0.568429190703015,""
"Tim.4","Spleen2","Spleen",0.553819044782842,""
"VISTA","LymphNode1","Lymph Node",0.86053057734808,""
"VISTA","LymphNode2","Lymph Node",0.862822542295245,""
"VISTA","Spleen1","Spleen",0.898658097874354,""
"VISTA","Spleen2","Spleen",0.89287925611446,""
"integrin.b7","LymphNode1","Lymph Node",0.77683480016212,""
"integrin.b7","LymphNode2","Lymph Node",0.767170333897927,""
"integrin.b7","Spleen1","Spleen",0.731197451372092,""
"integrin.b7","Spleen2","Spleen",0.719214683507679,""
